,0
clubId,4606176
bestDivision,3
bestFinishGroup,6
finishesInDivision1Group1,0
finishesInDivision2Group1,0
finishesInDivision3Group1,0
finishesInDivision4Group1,0
finishesInDivision5Group1,0
finishesInDivision6Group1,0
gamesPlayed,64
gamesPlayedPlayoff,15
goals,148
goalsAgainst,181
promotions,3
relegations,0
losses,31
ties,6
wins,27
lastMatch0,2
lastMatch1,2
lastMatch2,1
lastMatch3,2
lastMatch4,1
lastMatch5,-1
lastMatch6,-1
lastMatch7,-1
lastMatch8,-1
lastMatch9,-1
lastOpponent0,4575992
lastOpponent1,4634385
lastOpponent2,4794635
lastOpponent3,3930643
lastOpponent4,2559571
lastOpponent5,4582568
lastOpponent6,4914422
lastOpponent7,130081
lastOpponent8,4651490
lastOpponent9,1535944
wstreak,0
unbeatenstreak,0
skillRating,1488
reputationtier,0
leagueAppearances,49
